# Time;Field[mT];Voltage[V]
4038;2.3547274995344196;1.2812
4044;2.3547274995344196;1.2812
4050;2.3547274995344196;1.2812
4056;2.3547274995344196;1.2812
4062;2.3547274995344196;1.2812
4068;2.3547274995344196;1.2812
4074;2.3547274995344196;1.2812
4080;2.3547274995344196;1.2812
4086;2.3547274995344196;1.2812
4092;2.3547274995344196;1.2812
4098;2.3547274995344196;1.2812
4104;2.3547274995344196;1.2812
4110;2.3547274995344196;1.2812
4116;2.3547274995344196;1.2812
4122;2.3547274995344196;1.2812
4128;2.3547274995344196;1.2812
4134;2.3547274995344196;1.2812
4140;2.3547274995344196;1.2812
4146;2.3547274995344196;1.2812
4152;2.3547274995344196;1.2812
4158;2.3547274995344196;1.2812
4164;2.3547274995344196;1.2812
4170;2.3547274995344196;1.2812
4176;2.3547274995344196;1.2812
4182;2.3547274995344196;1.2812
4188;2.3547274995344196;1.2812
4194;2.3547274995344196;1.2812
4200;2.3547274995344196;1.2812
4206;2.3547274995344196;1.2812
4212;2.3547274995344196;1.2812
4218;2.3547274995344196;1.2812
4224;2.3547274995344196;1.2812
4230;2.3547274995344196;1.2812
4236;2.3547274995344196;1.2812
4242;2.3547274995344196;1.2812
4248;2.3547274995344196;1.2812
4254;2.3547274995344196;1.2812
4260;2.3547274995344196;1.2812
4266;2.3547274995344196;1.2812
4272;2.3547274995344196;1.2812
4278;2.3547274995344196;1.2812
4284;2.3547274995344196;1.2812
4290;2.3547274995344196;1.2812
4296;2.3547274995344196;1.2812
4302;2.3547274995344196;1.2812
4308;2.3547274995344196;1.2812
4314;2.3547274995344196;1.2812
4320;2.3547274995344196;1.2812
4326;2.3547274995344196;1.2812
4332;2.3547274995344196;1.2812
4338;2.3547274995344196;1.2812
4344;2.3547274995344196;1.2812
4350;2.3547274995344196;1.2812
4356;2.3547274995344196;1.2812
4362;2.3547274995344196;1.2812
4368;2.3547274995344196;1.2812
4374;2.3547274995344196;1.2812
4380;2.3547274995344196;1.2812
4386;2.3547274995344196;1.2812
4392;2.3547274995344196;1.2812
4398;2.3547274995344196;1.2812
4404;2.3547274995344196;1.2812
4410;2.3547274995344196;1.2812
4416;2.3547274995344196;1.2812
4422;2.3547274995344196;1.2812
4428;2.3547274995344196;1.2812
4434;2.3547274995344196;1.2812
4440;2.3547274995344196;1.2812
4446;2.3547274995344196;1.2812
4452;2.3547274995344196;1.2812
4458;2.3547274995344196;1.2812
4464;2.3547274995344196;1.2812
4470;2.3547274995344196;1.2812
4476;2.3547274995344196;1.2812
4482;2.3547274995344196;1.2812
4488;2.3547274995344196;1.2812
4494;2.3547274995344196;1.2812
4500;2.3547274995344196;1.2812
4506;2.3547274995344196;1.2812
4512;2.3547274995344196;1.2812
4518;2.3547274995344196;1.2812
4524;2.3547274995344196;1.2812
4530;2.3547274995344196;1.2812
4536;2.3547274995344196;1.2812
4542;2.3547274995344196;1.2812
4548;2.3547274995344196;1.2812
4554;2.3547274995344196;1.2812
4560;2.3547274995344196;1.2812
4566;2.3547274995344196;1.2812
4572;2.3547274995344196;1.2812
4578;2.3547274995344196;1.2812
4584;2.3547274995344196;1.2812
4590;2.3547274995344196;1.2812
4596;2.3547274995344196;1.2812
4602;2.3547274995344196;1.2812
4608;2.3547274995344196;1.2812
4614;2.3547274995344196;1.2812
4620;2.3547274995344196;1.2812
4626;2.3547274995344196;1.2812
4632;2.3547274995344196;1.2812
4638;2.3547274995344196;1.2812
4644;2.3547274995344196;1.2812
4650;2.3547274995344196;1.2812
4656;2.3547274995344196;1.2812
4662;2.3547274995344196;1.2812
4668;2.3547274995344196;1.2812
4674;2.3547274995344196;1.2812
4680;2.3547274995344196;1.2812
4686;2.3547274995344196;1.2812
4692;2.3547274995344196;1.2812
4698;2.3547274995344196;1.2812
4704;2.3547274995344196;1.2812
4710;2.3547274995344196;1.2812
4716;2.3547274995344196;1.2812
4722;2.3547274995344196;1.2812
4728;2.3547274995344196;1.2812
4734;2.3547274995344196;1.2812
4740;2.3547274995344196;1.2812
4746;2.3547274995344196;1.2812
4752;2.3547274995344196;1.2812
4758;2.3547274995344196;1.2812
4764;2.3547274995344196;1.2812
4770;2.3547274995344196;1.2812
4776;2.3547274995344196;1.2812
4782;2.3547274995344196;1.2812
4788;2.3547274995344196;1.2812
4794;2.3547274995344196;1.2812
4800;2.3547274995344196;1.2812
4806;2.3547274995344196;1.2812
4812;2.3547274995344196;1.2812
4818;2.3547274995344196;1.2812
4824;2.3547274995344196;1.2812
4830;2.3547274995344196;1.2812
4836;2.3547274995344196;1.2812
4842;2.3547274995344196;1.2812
4848;2.3547274995344196;1.2812
4854;2.3547274995344196;1.2812
4860;2.3547274995344196;1.2812
4866;2.3547274995344196;1.2812
4872;2.3547274995344196;1.2812
4878;2.3547274995344196;1.2812
4884;2.3547274995344196;1.2812
4890;2.3547274995344196;1.2812
4896;2.3547274995344196;1.2812
4902;2.3547274995344196;1.2812
4908;2.3547274995344196;1.2812
4914;2.3547274995344196;1.2812
4920;2.3547274995344196;1.2812
4926;2.3547274995344196;1.2812
4932;2.3547274995344196;1.2812
4938;2.3547274995344196;1.2812
4944;2.3547274995344196;1.2812
4950;2.3547274995344196;1.2812
4956;2.3547274995344196;1.2812
4962;2.3547274995344196;1.2812
4968;2.3547274995344196;1.2812
